question,page,short answer,long answer,ref_url,code_sample_url,picture_url
REDUX,,,,,,Zrzut ekranu 2020-12-26 o 21.42.04.png
Jak działa Redux?,,Oparty o subscription model,"Komponenty dispaczują akcje (message z payloadem co sie ma zmienic). Zmieniaja to reducery. Proste funkcje synchroniczne (pozniej bedzie jak zrobic asynchroniczna), ktore zwracaja zmieniony immutable obiekt stanu. Musi to byc nowy obiekt. Potem wrzucane sa do globalnego Central Store, na ktorym sa triggery subskrypcji. Wrzucaja zupdatowany stan do Componentow w propsach.",https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/8211836#overview,,Zrzut ekranu 2021-02-7 o 13.24.11.png
Jak zrobic default parameter w javascripcie?,,"function foo(ma_defaultowy = ""defaut value"")",,,,
"Gdy dodajemy element do tablicy jaka jest roznica pomiedzy push(), a concat() ?",,"Push mutuje tablice, concat zwraca nowa",,,,
Czy reducery składowe mają dostęp do global state?,,"nie, tylko do lokal state tego reducera",,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/8211874#overview,,
Co eliminuje redux?,,,Nie uzywamy juz setState(). Dodatkowa nie korzystamy bezposrednio z state property. Korzystamy z niej przez Reduxa.,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/8211896#overview,,
Jakie sa rodzaje storage w przegladarce?,,ciasteczka w local storage przezywaja zamkniecie okna,,https://www.udemy.com/course/react-the-complete-guide-incl-redux/learn/lecture/8244656#overview,,
Kiedy react rerenderuje od elementy?,,"Jak zmieni sie prop. Jak sie nie zmieni, to nie zrerenderuje sie.",,https://stackoverflow.com/questions/41736213/why-cant-i-change-my-input-value-in-react-even-with-the-onchange-listener,,
Co zastąpił hook useEffect() ?,,,"componentDidMount, componentDidUpdate i componentWillUnmount",https://pl.reactjs.org/docs/hooks-overview.html,,
Jak dziala useEffect() ?,,,Domyślnie React uruchamia wszystkie efekty po każdym renderowaniu — włącznie z pierwszym.,https://pl.reactjs.org/docs/hooks-overview.html,,
Dwie zasady korzystania z hookow?,,,"Wywołuj hooki tylko z najwyższego poziomu kodu. Nie wywołuj hooków z wewnątrz pętli, warunków czy zagnieżdżonych funkcji.",https://pl.reactjs.org/docs/hooks-overview.html,,
,,,"Wywołuj hooki tylko z wewnątrz reactowych komponentów funkcyjnych. Nie wywołuj hooków z wewnątrz zwykłych javascriptowych funkcji. (Jest jeszcze tylko jedno miejsce, z którego możesz wywoływać hooki — twoje własne hooki. Za chwilę dowiemy się o tym więcej.)",https://pl.reactjs.org/docs/hooks-overview.html,,
Jak dziala useEffect()?,,,"Jest wykorzystywany przy kazdej zmianie state'a, oraz na poczatku. Renderuje komponent.",https://pl.reactjs.org/docs/hooks-overview.html,,
Kiedy useEffect() zachowuje sie jak componentWillUnmont()?,,,Jak zwrocimy funkcję z useEffect().,https://www.youtube.com/watch?v=dpw9EHDh2bM,,
Co przyjmuje i zwraca useEffect()?,,funkcję,,https://www.youtube.com/watch?v=dpw9EHDh2bM,,
Ile razy mozna uzyc useEffect i useState w komponencie funkcyjnym?,,Ile chcemy razy,,https://www.youtube.com/watch?v=dpw9EHDh2bM,,
Kiedy useEffect() zachowuje sie jak componentDidMount)?,,,przy pierwszym renderze,https://www.youtube.com/watch?v=dpw9EHDh2bM,,
"useEffect przy kazdym renderze sie wywoluje, czyli subsktybujemy sie za kazdym renderem",,mozna to zoptymalizowac,,https://www.youtube.com/watch?v=dpw9EHDh2bM,,
Custom hooki => useSomeFunckName(),,,,,,
"Co pomyslec jak funkcja zaczyna sie na ""use""? useWindowWidth() ?",,"To jest stateful, nie stateless",ma jakis stan w sobie,,,
Jak różni się w działaniu useState() z setState()? Np jesli dzialamy na tablicy,,,"Nie musisz używać kilku zmiennych stanu. Zmienne stanu mogą równie dobrze przechowywać obiekty i tablice, więc wciąż możesz grupować powiązane dane. Jednakże, w przeciwieństwie do metody this.setState w klasie, aktualizowanie zmiennej stanu zawsze nadpisuje jej wartość, zamiast scalać stare i nowe wartości.",https://pl.reactjs.org/docs/hooks-state.html,,
Co to efekty uboczne?,,,,,,
Gdzie powinno sie uzywac efektow ubocznych jak mamy komponent klasowy?,,,w lifecycle methodach: componentDidMount i componentDidUpdate ,,,
Jak dzielimy efekty uboczne?,,Na wymagajace sprzatania i nie wymagające.,,https://pl.reactjs.org/docs/hooks-effect.html,,
Kiedy wywoływane są efekty w hookach?,,,"Zamiast myśleć w kategoriach „montowania” i „aktualizacji”, być może łatwiej będzie ci zrozumieć, że efekty wykonywane są „po wyrenderowaniu”. React daje ci gwarancję, że drzewo DOM zostanie zaktualizowane zanim wywoła efekty",https://pl.reactjs.org/docs/hooks-effect.html,,
Gdzie sprzątamy efekty uboczne? np odsubsktybowanie sie?,,,"W hookach zwracajac funkcje w useEffect, a w klasie w componentDidUnmount().",,,
Dlaczego efekty działają przy każdej aktualizacji? Czyli faza sprzatania za kazdym renderem ...,,,"Jak props będzie się zmieniał w czasie i nie uwzględnimy tego w componentDidUpdate() to zle sie zasubsktybujemy. W hooku useEffect faza sprzatania jest przy kazdym renderze, wiec nie grozi nam ten wyciek",,,
"Jak bede chcial uzyc ""if"" z hookiem to jak to zrobic?",,,Uzyc w srodku hooka,https://pl.reactjs.org/docs/hooks-rules.html,,
Czym jest wlasny hook?,,,Funkcja ktora uzywa zdefiniowanych hookow,https://pl.reactjs.org/docs/hooks-custom.html,,
"Co mogę zrobić z hookami, czego nie można było zrobić z klasami?",,,Tworzyc wlasne hooki i dzieki temu code reuse robic,,,
Dlaczego uzywanie SynteticEvent w React'cie jest spoko?,,Jedno API dla wszystkich przegladarek,React normalizes events so that they have consistent properties across different browsers.,https://reactjs.org/docs/events.html,,
